Sentence Output
"What type of animal is the easiest kept pet there is ?" ENTY:animal
"Who followed up his first two underwater thrillers with The Girl of the Sea of Cortez ?" HUM:ind
"What spider makes a superb pet , even said to recognize its master ?" ENTY:animal
"How do you write a correct critical analysis of a poem ?" DESC:manner
"What actress 's autobiography is titled Shelley : Also Known as Shirley ?" HUM:ind
"How much in miles is a ten K run ?" NUM:count
"What baseball team owner and sailor is known as The Mouth of the South ?" HUM:ind
"Who is the worst US President ever ?" HUM:ind
"Who followed Caesar ?" HUM:ind
"Who portrayed Fatman in the television show , `` Jake and the Fatman '' ?" HUM:ind
"Why are there olives in martinis ?" DESC:reason
"What is a `` node '' in computer terms ?" DESC:def
"What according to the Kinsey Institute , is the sexual preference of four percent of American males ?" DESC:desc
"What are the first names of the famous husband-and-wife acting team of Lunt and Fontanne ?" HUM:ind
"What is the latitude and longitude of El Paso , Texas ?" NUM:other
"How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?" NUM:count
"What is dry ice ?" DESC:def
"What is `` bloodhound '' ?" DESC:def
"What was the nickname of German flying ace Manfred von Richthofen ?" HUM:ind
"What ice creams contain seaweed ?" ENTY:food
"When is the Jimmy Buffett concert coming to the E center in Camden NJ ?" NUM:date
"What was the nickname of model Leslie Hornby ?" HUM:ind
"What is the largest U.S. state east of the Mississippi ?" LOC:state
"What drug is often used to treat AIDS patients ?" ENTY:dismed
"Which type of soda has the greatest amount of caffeine ?" ENTY:food
"What U.S. general was court-martialled for criticizing American air power ?" HUM:ind
"Who is the father of the computer ?" HUM:ind
"Which country is the largest country in Latin America ?" LOC:country
"What does appropriates money mean ?" DESC:def
"What is sound ?" DESC:def
"What is a term for behavior , appearance , or expression that violates the accepted standards of sexual morality ?" ENTY:termeq
"Where is Amsterdam ?" LOC:other
"What 1964 film introduced the song My Kind of Town ?" ENTY:cremat
"Which airplane did Fawaz Younis hijack ?" ENTY:veh
"How can you be happy ?" DESC:manner
"Where is the human skin least sensitive ?" ENTY:body
"What is the correct way to abbreviate cc. at the bottom of a business letter ?" ABBR:abb
"What does Tiffany mean ?" DESC:def
"How many people are there in the world ?" NUM:count
"What was the Bridge of San Luis Rey made of ?" ENTY:substance
"What does seccession mean ?" DESC:def
"Where can I buy a good snowboard for less than $200 ?" LOC:other
"What language is mostly spoken in Brazil ?" ENTY:lang
"Who was the lawyer who represented Randy Steven Craft ?" HUM:ind
"What is a person called that likes fire ?" HUM:ind
"In what Olympic Games did Nadia Comaneci become popular ?" ENTY:sport
"Who was the first black golfer to tee off in the Masters ?" HUM:ind
"What are all the different types of pizza ?" ENTY:food
"Where was Tesla born ?" LOC:other
"What does the name Calder mean ?" DESC:def
"Who portrayed Prewett in From Here to Eternity ?" HUM:ind
"What are some fun things to do in Cozumel , Mexico for teenagers ?" DESC:desc
"What is widely used to detect prenatal birth defects ?" ENTY:other
"What attracts tourists to Reims ?" LOC:other
"Why do oceans contain salt water instead of fresh water ?" DESC:reason
"How were the days of the week named ?" DESC:manner
"Who played Lucas McCain on The Rifleman ?" HUM:ind
"How many rows of whiskers does a cat have ?" NUM:count
"What is the weight of a teaspoon of matter in a black hole ?" NUM:weight
"How do you find the area of a circle ?" DESC:manner
"What is a green bog ?" DESC:def
"How can your school march in the Macy 's Thanksgiving Parade ?" DESC:manner
"What oldtime kids ' fare did TV Guide writer Jeff Greenfield call `` one of the most...subversive TV shows in American history '' ?" ENTY:cremat
"What is digitalis ?" DESC:def
"What is a disaccharide ?" DESC:def
"How long ago was the Roe vs. Wade decision by the Supreme Court ?" NUM:period
"What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?" ENTY:cremat
"What is the difference between khaki and chino ?" DESC:desc
"What 's the closest G2 Spectrum Yellow Dwarf to Earth ?" LOC:other
"What else has the swastika stood for ?" DESC:def
"What magazine paid $5 , 000 for an eight-millimeter film of John F. Kennedy 's assassination ?" ENTY:cremat
"What day is August 13 , 1971 ?" NUM:date
"What does God create in the first sentence of the Bible ?" ENTY:other
"What famous New York City mayor wrote the hit song , `` Will You Love Me in December as You Do in May ? ''" HUM:ind
"How do you become a dentist ?" DESC:manner
"What was the name of Randy Craft 's lawyer ?" HUM:ind
"What is main reason for that electric vehicles can 't be popular nowadays ?" DESC:reason
"How many people live in the Falklands ?" NUM:count
"What is the quickest and easiest way to get nail polish out of clothes ?" ENTY:techmeth
"How can you get rust stains out of clothing ?" DESC:manner
"What actress starred in `` The Lion in Winter '' ?" HUM:ind
"What is a fear of passing high objects ?" ENTY:dismed
"What is the name of the Islamic counterpart to the Red Cross ?" ENTY:termeq
"What soft drink tells us to `` Go Hawaiian '' ?" ENTY:food
"What is a fear of fish ?" ENTY:dismed
"Whose old London come-on was : `` Buy my sweet lavender '' ?" HUM:ind
"What Muhammad Ali maneuver was George Foreman the first victim of ?" ENTY:techmeth
"What is deadrise , nautical , ?" DESC:def
"What cable network bills itself as `` the family entertainer '' ?" HUM:gr
"Who took the toys donated for the Doodyville Orphans ' Fund and kept them for himself ?" HUM:ind
"Who received the Will Rogers Award in 1989 ?" HUM:ind
"Who was the first governor of West Virginia ?" HUM:ind
"What is federal income tax ?" DESC:def
"How is water treated to make it safe to drink ?" DESC:manner
"What was William F. Cody 's better-known name ?" HUM:ind
"What color are a cherry tree 's flowers ?" ENTY:color
"What kind of car did Janis Joplin ask the Lord to buy her ?" ENTY:product
"What 's the highest possible bid in Contract Bridge ?" ENTY:other
"What happened to Phillip Taylor Kramer ?" DESC:desc
"What is worth seeing in Reims ?" LOC:other
"What is a glory hole ?" DESC:def
"How old was Gene Siskel ?" NUM:period
"What year was the ATM first introduced ?" NUM:date
"What 's the highest-ranking suit in bridge ?" ENTY:other
"What started in 1849 when gold was discovered at Sutter 's Mill ?" ENTY:event
"What country boasts the southernmost point in continental Europe ?" LOC:country
"How do you find out what is allowed to claim as a contibution for income tax purposes ?" DESC:manner
"Why do heavier objects travel downhill faster ?" DESC:reason
"When was the Congress of Vienna ?" NUM:date
"What was Al Capone 's nickname ?" HUM:ind
"What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?" DESC:desc
"What country , after Canada and Mexico , is closest to the U.S. ?" LOC:country
"What was Queen Victoria 's title regarding India ?" HUM:title
"What Texas city got its name from the Spanish for `` yellow '' ?" LOC:city
"Where did the Battle of the Bulge take place ?" LOC:other
"What is the difference between a college and a university ?" DESC:desc
"How does food color affect how you think it will taste ?" DESC:manner
"What does an echidna look like ?" DESC:desc
"What province is Edmonton located in ?" LOC:state
"Why shouldn 't you remove a bee stinger with tweezers ?" DESC:reason
"What season is the setting for Shakespeare 's Midsummer Night 's Dream ?" NUM:date
"What painter popularized soup cans and Brillo soap pad boxes ?" HUM:ind
"What female suspect in the game of Clue is single ?" HUM:ind
"What is the longest place name in the U.S. ?" LOC:other
"What country owns Corsica ?" LOC:country
"What is a bone marrow transplant meant for ?" DESC:def
"What is kept in Fort Knox that is so valuable ?" ENTY:other
"What Judith Rossner novel was made into a film starring Diane Keaton ?" ENTY:cremat
"Which member of the Micronauts spent 1 years traveling the Microverse in the Marvel comics ?" HUM:ind
"How tall is Prince Charles ?" NUM:dist
"Mississippi is nicknamed what ?" ENTY:termeq
"Who was the first X-Man to die in battle ?" HUM:ind
"What country offered Albert Einstein its presidency in 1952 ?" LOC:country
"How many American soldiers have died for their country to date ?" NUM:count
"Where can I find a person 's address from a telephone number ?" LOC:other
"Why do many Native American students not complete college ?" DESC:reason
"What 1927 silent film received an international revival in 1981 ?" ENTY:cremat
"Who was the first President to appoint a woman to head a cabinet ?" HUM:ind
"Why are there 12 people on a jury in criminal cases ?" DESC:reason
"What percentage of the body is muscle ?" NUM:perc
"Who is the youngest of the Beatles ?" HUM:ind
"Who is Stein Eriksen ?" HUM:desc
"Who is Westview High 's band director in Funky Winkerbean ?" HUM:ind
"What was the number of people that Randy Steven Craft was convicted of killing ?" NUM:other
"What is widely used to detect birth defects ?" ENTY:other
"What is Shirley MacLaine known as ?" ENTY:termeq
"What did Jimmy Stewart invent ?" ENTY:other
"What body of water does the Danube River flow into ?" LOC:other
"What actor first portrayed James Bond ?" HUM:ind
"How can I get my product licensed by the NBA ?" DESC:manner
"What is the shape of a football as stated in the NFL rulebook ?" ENTY:other
"What materials did the three little pigs use to build their houses ?" ENTY:substance
"What is the main ingredient of yogurt ?" ENTY:substance
"When was Babe Ruth born ?" NUM:date
"Who said : `` Soldiers win the battles and generals get the credit '' ?" HUM:ind
"What did people use to freshen their breath before toothpaste ?" ENTY:other
"What are the three most populated countries in the world ?" LOC:country
"What animal occurs in Spielberg 's `` Jaws '' ?" ENTY:animal
"Who holds the career record for the most major league home runs ?" HUM:ind
"Where is Dartmouth College ?" LOC:other
"What city 's the kickoff point for climbs of Mount Everest ?" LOC:city
"What is a fear of insanity ?" ENTY:dismed
"What state did Helen Keller call home ?" LOC:state
"How do you buy stocks ?" DESC:manner
"What cigarette is `` a whole new world '' ?" ENTY:other
"What is the name of the Jewish alphabet ?" ENTY:termeq
"What card game derived its name from biritch , or Russian Whist ?" ENTY:sport
"What is the contents of proposition 98 ?" DESC:def
"A normal human pregnancy lasts how many months ?" NUM:count
"Where was the first restaurant ?" LOC:other
"What erupts every hour at Yellowstone National Park ?" LOC:other
"What Marx Brothers movie centers on a stolen painting ?" ENTY:cremat
"How many visitors go to the Vatican each year ?" NUM:count
"What are the names of the tourist attractions in Reims ?" LOC:other
"The Orange Bowl is located in what city ?" LOC:city
"What English playwright penned : `` Where the bee sucks , so shall I '' ?" HUM:ind
"Who is buried in the great pyramid of Giza ?" HUM:ind
"What was Mae West 's last film ?" ENTY:cremat
"Where can I find information on George Bush ?" LOC:other
"Why do movie and TV stars get paid so much ?" DESC:reason
"How many meters are in a mile ?" NUM:count
"What Morris West novel deals with Russian bishop who becomes Pope ?" ENTY:cremat
"What exactly is the purpose of the anteater ?" DESC:reason
"Who won the Battle of Gettysburg ?" HUM:ind
"What gate opened on East and West Berlin ?" LOC:other
"How do you write MLA style bibliographies for an Internet source ?" DESC:manner
"What TV series featured Neal , a martini-drinking St. Bernard ?" ENTY:cremat
"From what cause does tuberculosis stem ?" DESC:reason
"What is the S&P 500 used for ?" DESC:reason
"Who won World War II ?" HUM:ind
"Where can I get U.S. economic statistics ?" LOC:other
"What vehicles are raced in the Tour de France ?" ENTY:veh
"Who does the voices of the Simpsons ?" HUM:ind
"What was the eighth day following the Nones in each month of the Roman calendar called ?" ENTY:termeq
"How do clouds form ?" DESC:manner
"Why do people shake hands to show friendliness ?" DESC:reason
"What kind of sports team is the Buffalo Sabres ?" ENTY:sport
"Who created Dennis the Menace ?" HUM:ind
"What disease is the second-biggest killer of North Americans ?" ENTY:dismed
"How much Coca Cola is drunk in one day in the world ?" NUM:count
"What bay divides Maryland 's Eastern and Western Shores ?" LOC:other
"What is barnstorming ?" DESC:def
"What is a person called that likes fire ?" HUM:ind
"Where can I find the schematics to the windshield wiper mechanism ?" LOC:other
"What product is for kids , and not for silly rabbits ?" ENTY:product
"How is the element strontium purified ?" DESC:manner
"What room did W.C. Fields keep his library in ?" LOC:other
"How many shots can a stock M16 hold ?" NUM:count
"What 's the name of the tiger that advertises for Frosted Flakes cereal ?" ENTY:animal
"What astronomer-architect designed the present St. Paul 's Cathedral in London ?" HUM:ind
"What does ribavirin consist of ?" ENTY:substance
"What indoor sport saw the Phoenix Inferno become the Phoenix Pride on July 14 , 1983 , when the temperature hit 111 degrees ?" ENTY:sport
"How does crosstalk relate to InSb thickness in infrared detectors ?" DESC:manner
"What toy company is the world 's No.1 maker of female apparel ?" HUM:gr
"Where is the Taj Mahal ?" LOC:other
"What is the history of Valentine 's Day cards ?" DESC:desc
"What Mormon leader was said to have had 27 wives ?" HUM:ind
"What suburban housewife and mother of three wrote The Feminine Mystique ?" HUM:ind
"What famed clown appeared on an early Howdy Doody Show and insisted that Clarabell be made up as a real clown ?" HUM:ind
"When was the first successful heart transplant for a human ?" NUM:date
"What country borders the most others ?" LOC:country
"In the movie Groundshog Day what is the name of the character played by Andie MacDowell ?" HUM:ind
"How many small businesses are there in the U.S ." NUM:count
"What is a nematode ?" DESC:def
"What is ethylene ?" DESC:def
"What is the chemical composition of a Barbie ?" ENTY:substance
"What is the term that describes a word where only one usage has been recorded in all literature ?" ENTY:termeq
"How many mines can still be found in the Falklands after the war ended ?" NUM:count
"What nuclear-powered Russian submarine sank in the Norwegian Sea on April 7 , 1989 ?" ENTY:veh
"What natural attractions draw the most visitors in the United States ?" LOC:other
"How many states have a lottery ?" NUM:count
"What is `` the soft drink for adults '' ?" ENTY:food
"What are the Benelux countries ?" LOC:country
"How many furlongs are there in a mile-and-a-quarter recetrack ?" NUM:count
"How long does it take for your body to restore blood after you donate your blood ?" NUM:period
"Who built the first pyramid ?" HUM:gr
"Who lives at 24 Sussex Drive , Ottawa ?" HUM:ind
"What are the Valdez Principles ?" DESC:def
"What is proposition 98 about ?" DESC:def
"How do I get another city 's newspaper ?" DESC:manner
"Who starred in Singing in the Rain and The Singing Nun ?" HUM:ind
"What TV sitcom character had the maiden name Ethel Potter ?" HUM:ind
"What is the best way to overcome a fear ?" ENTY:techmeth
"Who was Bonnie Blue Butler 's father ?" HUM:ind
"How does a copier work ?" DESC:manner
"The major league baseball team in Pittsburgh is called what ?" HUM:gr
"Who was the first black woman to star in the Folies Bergeres ?" HUM:ind
"What is the origin of `` barbeque '' ?" DESC:desc
"What 's the motto of the Boy Scouts ?" DESC:desc
"How many men died building the Mackinaw Bridge ?" NUM:count
"What are the odds of giving birth to twins ?" NUM:perc
"What California bay 's largest island is Angel Island ?" LOC:other
"What is the most common cancer ?" ENTY:dismed
"Name a film that has won the Golden Bear in the Berlin Film Festival ?" ENTY:cremat
"How much is Clara Peller being paid by Wendy 's to say `` Where 's the beef '' ?" NUM:money
"What organization did Mr. Waverly assign agents for ?" HUM:gr
"Who won the first World Series ?" HUM:ind
"What 's the capital of Monaco ?" LOC:city
"What was the nickname of Frederick I , Holy Roman Emperor and King of Germany ?" HUM:ind
"What nuclear process takes place in an H-bomb ?" DESC:desc
"What is the origin of the name Igor ?" DESC:desc
"What are the current immigration laws in US ?" DESC:desc
"Who was with Patricia Hearst the night she was kidnaped ?" HUM:ind
"What are the Greek numerals ?" DESC:def
"What is tumbled marble ?" DESC:def
"What is `` snoogans '' ?" DESC:def
"Where was `` I have fallen , and I can 't get up '' said first ?" LOC:other
"What city does Orly Airport serve ?" LOC:city
"What is the abbreviation of the National Bureau of Investigation ?" ABBR:abb
"What is a fear of cholera ?" ENTY:dismed
"What lake is the source of the White Nile ?" LOC:other
"What are the most common elements in the Earth 's crust ?" ENTY:substance
"What shrubs can be planted that will be safe from deer ?" ENTY:plant
"Who wrote the Bible ?" HUM:ind
"Who is Johnny Carson ?" HUM:desc
"How much money does a back injury lawsuit get ?" NUM:money
"What is Michael Jackson 's middle name ?" HUM:ind
"Who was the 1st U.S. President ?" HUM:ind
"What country borders Denmark to the south ?" LOC:country
"What is the highest peak in Africa ?" LOC:mount
"Which major diamond producer is based in South Africa ?" HUM:gr
"What Robert Louis Stevenson novel was inspired by Deacon William Brodie , a cabinetmaker by day and burglar by night ?" ENTY:cremat
"What is a wop ?" DESC:def
"Who made the rotary engine automobile ?" HUM:gr
"What is a fear of food ?" ENTY:dismed
"What are some of the significant historical events of the 1990s ?" ENTY:event
"What are the words to the song sung by `` Banana in Pajamas '' ?" DESC:desc
"In what country is Lund ?" LOC:country
"What is the occupation of Nicholas Cage ?" HUM:title
"Name the food company that traveled to Soviet Georgia to film a series of ads ." HUM:gr
"What Pulitzer Prize-winning novelist ran for mayor of New York City ?" HUM:ind
"What novel has Big Brother watching ?" ENTY:cremat
"Who 's the lead singer of the Led Zeppelin band ?" HUM:ind
"Where are the leading medical groups specializing in lung diseases ?" LOC:other
"What do economists do ?" DESC:desc
"What film did Louise Fletcher win the best actress Oscar for ?" ENTY:cremat
"Who is currently the most popular singer in the world ?" HUM:ind
"Name the 5 words that use all of the letters in the alphabet , except Q , with no repeats ." ENTY:word
"How do you get a pointsettia to turn red ?" DESC:manner
"Name a technique widely used to detect birth defects ?" ENTY:techmeth
"What Tom Wolfe book is about the Mercury astronauts ?" ENTY:cremat
"How long did it take Stanley to find Livingstone ?" NUM:period
"What dog was dubbed The Mortgage Lifter ?" ENTY:animal
"Who were the four famous founders of United Artists ?" HUM:ind
"What is the Islamic counterpart to the Red Cross ?" ENTY:termeq
"What are the rites accompanying the circumcision of a newly born-child in Judaism called ?" ENTY:event
"What is Columbia Tristar 's phone number ?" NUM:code
"What is lung cancer ?" DESC:def
"What Kennedy was married to Ethel ?" ENTY:cremat
"How long does a fly live ?" NUM:period
"How many languages does the Pope speak ?" NUM:count
"Who was Garrett Morgan married to ?" HUM:ind
"Who was William Henry Harrison ?" HUM:desc
"What causes rust ?" DESC:reason
"What does Visine get out ?" ENTY:other
"What sport do you shag flies in ?" ENTY:sport
"What is the Socratic method ?" DESC:def
"What causes asthma ?" DESC:reason
"What is the history of the soft drink Mr. Pibb ?" DESC:desc
"What Leon Uris novel dealt with the Russian capture of Berlin ?" ENTY:cremat
"What is a fear of gravity ?" ENTY:dismed
"What is `` cat scratch fever '' ?" DESC:def
"How many stars are there on the Soviet Union 's flag ?" NUM:count
"Who was the first black performer to have his own network TV show ?" HUM:ind
"Where is the Thomas Edison Museum ?" LOC:other
"What is Nicholas Cage 's profession ?" HUM:title
"How did Rocky Marciano die ?" DESC:manner
"Where on the Internet can I find information on laundry detergent ?" LOC:other
"What is the name of the gulf between Sweden and Finland ?" LOC:other
"Who patented the first phonograph ?" HUM:ind
"Who was the first woman in space ?" HUM:ind
"What are the Poconos ?" DESC:def
"What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?" ENTY:instru
"Who wrote the sci-fi trilogy Foundation , Foundation and Empire , and Second Foundation ?" HUM:ind
"When did humans first begin to write history seriously ?" NUM:date
"How much did Varian Associates try to sell its vacuum products division to the BOC group for ?" NUM:money
"What is the largest shopping mall in the world ?" LOC:other
"Who lives at 39 Stone Canyon Way ?" HUM:ind
"Where do hyenas live ?" LOC:other
"Who was the Democratic nominee in the American presidential election ?" HUM:ind
"How is energy created ?" DESC:manner
"Where can I find a list of `` classic '' books 5th and 6th graders should read ?" LOC:other
"When did Princess Diana and Prince Charles get married ?" NUM:date
"Who played Sally Rogers on The Dick Van Dyke Show ?" HUM:ind
"What is the real name of the singer , Madonna ?" HUM:ind
"What percent of world 's fresh water is found in Canada ?" NUM:perc
"Name the vessel used by the Atari Force in the DC comics ." ENTY:veh
"What company is the largest Japanese ship builder ?" HUM:gr
"What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?" DESC:desc
"What 's the staff of life mentioned in the Lord 's Prayer ?" DESC:def
"What is DSL ?" ABBR:exp
"What is the last name of Lucy and Linus from the Peanut 's comic strip ?" HUM:ind
"How do I give a good massage ?" DESC:manner
"When did Mount St. Helen last have a significant eruption ?" NUM:date
"What actor learned to play the saxophone and speak Russian for a role in a movie ?" HUM:ind
"What does a nihilist believe in ?" DESC:desc
"Who invented batteries ?" HUM:ind
"What do pointed letters mean to a handwriting analyst ?" DESC:def
"Who played Al Jolson in the Jolson Story ?" HUM:ind
"What does a chiropodist treat ?" ENTY:dismed
"How do I know how much money to save for retirement ?" DESC:manner
"What is the Kashmir issue ?" DESC:def
"What is power steering ?" DESC:def
"What European city do Nicois live in ?" LOC:city
"Who played the title role in The Romantic Englishwoman ?" HUM:ind
"What author was appointed U.S. ambassador to Spain in 1842 ?" HUM:ind
"What Caribbean island is sometimes called Little England ?" LOC:other
"When was the first Wall Street Journal published ?" NUM:date
"What are the historical trials following World War II called ?" ENTY:event
"What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?" DESC:reason
"How is thalassemia defined ?" DESC:def
"What day of the week sees the most fatal car accidents ?" NUM:date
"Who is the superstar in rent-a-cars ?" HUM:ind
"Why is Indiglo called Indiglo ?" DESC:reason
"Who played the Ringo Kid in the 1939 film Stagecoach ?" HUM:ind
"Who did Jackie Kennedy commission to write The Death of a President ?" HUM:ind
"How many people were executed for Abraham Lincoln 's assassination ?" NUM:count
"How many continents are there ?" NUM:count
"How did people respond to the idea of the first millenium ?" DESC:manner
"How do you say 2 in Latin ?" ENTY:termeq
"What U.S. state records the least rainfall ?" LOC:state
"What is the largest city in Connecticut ?" LOC:city
"What did Warlock wear on his forehead in Marvel comics ?" ENTY:other
"What is the best distance education university or college ?" HUM:gr
"What is the average salary of a paleontologist ?" NUM:money
"Why did the world enter a global depression in 1929 ?" DESC:reason
"What South American city features the exclusive Copacabana Beach and Ipanema ?" LOC:city
"What was the first TV set to include a remote control ?" ENTY:other
"How many engines does a Boeing 737 have ?" NUM:count
"What is hyperopia ?" DESC:def
"What is the most radioactive food ?" ENTY:food
"What is a horologist ?" DESC:def
"Where can I learn about Samuel Gompers ?" LOC:other
"Who played Maria in the film West Side Story ?" HUM:ind
"What is cosmology ?" DESC:def
"What is the most common name ?" HUM:ind
"Who won Oscars for her roles in Gone with the Wind and A Streetcar Named Desire ?" HUM:ind
"Where does your hair grow the fastest ?" ENTY:body
"Who invented the fountain ?" HUM:ind
"Who runs Andy Capp 's favorite pub ?" HUM:ind
"What country did King Gustav V reign over from 197 to 195 ?" LOC:country
"What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?" ENTY:cremat
"What river is Pocahontas buried along ?" LOC:other
"What is the word for love of pain or abuse ?" ENTY:word
"What are perfect tenses ?" DESC:def
"What is her husband 's name ?" HUM:ind
"What company tabulates the ballots in voting for the Academy Awards ?" HUM:gr
"What two vegetables are combined in succotash ?" ENTY:food
"Where is the official `` zero '' of the sea level ?" LOC:other
"How long were Tyrannosaurus Rex 's teeth ?" NUM:dist
"Who did Bobby Fischer beat to win the world chess championship ?" HUM:ind
"What Cherokee Indian gave his name to a tree ?" HUM:ind
"What was the name of the lawyer who represented Randy Craft ?" HUM:ind
"What is the population of Kansas ?" NUM:other
"How can I get a comic character I made copyrighted and published ?" DESC:manner
"How do you make the color purple ?" DESC:manner
"What British female pop singing star of the 1960s and early 1970s was a child actress in the 1940s and '50s ?" HUM:ind
"What country is the biggest producer of tungsten ?" LOC:country
"What two countries fought the Hundred Years ' War ?" LOC:country
"What is the best art and design school in the world ?" HUM:gr
"What do we call the imaginary line along the top of the Rocky Mountains ?" LOC:other
"What was `` America 's recessed-filter cigarette '' ?" ENTY:product
"What year did Charles Dicken die ?" NUM:date
"What effect does a prism have on light ?" DESC:desc
"What country has the most coastline ?" LOC:country
"What kind of patent did Ermal Fraze get in 1963 ?" ENTY:other
"In what year did the Bounty mutiny happen ?" NUM:date
"What former African leader held his country 's boxing title for nine years ?" HUM:ind
"Who was the last woman executed in England ?" HUM:ind
"Name the scar-faced bounty hunter of The Old West ." HUM:ind
"What three colors are on the French flag ?" ENTY:color
"What mountainous region of the world is the Lhasa Apso dog native to ?" LOC:other
"How do you get to the top of the Eiffel Tower ?" DESC:manner
"What is the second highest mountain peak in the world ?" LOC:mount
"How long do you have to live in a community to vote ?" NUM:period
"What is the text of the Fifth Amendment ?" DESC:desc
"Where in the United States do people live the longest ?" LOC:other
"What two countries contain Sierra Nevada mountains ?" LOC:country
"What English explorer discovered and named Virginia ?" HUM:ind
"What 's the most commonly-spoken language in Belgium ?" ENTY:lang
"How much salt is in the oceans ?" NUM:count
"Who is the leader of India ?" HUM:ind
"What are the limits to `` self-defense ? ''" DESC:desc
"How do you do a bibliography page ?" DESC:manner
"Who portrayed W.C. Fields in the film W.C. Fields and Me ?" HUM:ind
"Who was the star of the 1965 Broadway hit Golden Boy ?" HUM:ind
"Where 's the Bernini-Bristol Hotel ?" LOC:other
"Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?" LOC:other
"What does SHIELD stand for ?" ABBR:exp
"What is the fastest-growing comic strip of all time ?" ENTY:cremat
"What is the name of the art of growing miniature trees ?" ENTY:termeq
"What 1920s cowboy star rode Tony the Wonder Horse ?" HUM:ind
"What did the crocodile swallow in Peter Pan ?" ENTY:other
"What lake in Scotland is said to hold one or more monsters ?" LOC:other
"How do movie blues screens work ?" DESC:manner
"Who succeeded Nikita Khrushchev as first secretary of the Communist Party ?" HUM:ind
"Where was Richard Nixon when Gerald Ford became president ?" LOC:other
"What 's Japan 's largest car manufacturer ?" HUM:gr
"What baseball team became the Minnesota Twins ?" HUM:gr
"How many yards are in 1 mile ?" NUM:count
"What does EKG stand for ?" ABBR:exp
"What feminist wrote Sexual Politics and Flying ?" HUM:ind
"What three European countries begin with the letter A ?" LOC:country
"What is the nickname of Pennsylvania ?" LOC:state
"What New England state carries the telephone area code 27 ?" LOC:state
"How do you select wine ?" DESC:manner
"How many times a day does the typical person go to the bathroom ?" NUM:count
"What mammal of North America is the world 's longest-lived for its size ?" ENTY:animal
"What is an example of a natural acid-base indicator ?" ENTY:other
"How does the Elongated Man know a mystery is afoot ?" DESC:manner
"What is Franz Kafka 's short story `` A Country Doctor '' trying to tell us ?" DESC:desc
"What TV show did John Sebastian sing the theme for ?" ENTY:cremat
"What soft drink is most heavily caffeinated ?" ENTY:food
"What is Nicholas Cage 's occupation ?" HUM:title
"How many Beanie Baby sites are there ?" NUM:count
"What international sport was originally called hurley ?" ENTY:sport
"Who provides telephone service in Orange County , California ?" HUM:gr
"What city is wiener schnitzel named for ?" LOC:city
"What is one of the cities that the University of Minnesota is located in ?" LOC:city
"What book opens : `` At a certain village in La Mancha , which I shall not name.. . '' ?" ENTY:cremat
"What color was the hundred billionth crayon made by Crayola ?" ENTY:color
"How tall is the Matterhorn ?" NUM:dist
"What four elements make up 90 percent of the human body ?" ENTY:substance
"What is the feudal system ?" DESC:def
"How long does it take for Spider-Man 's web to evaporate ?" NUM:period
"What was the name of Captain Bligh 's ship ?" ENTY:veh
"What member of The Little Rascals has an on-again , off-again sweetheart in Darla Hood ?" HUM:ind
"What is the quantity of American soldiers still unaccounted for from the Vietnam war ?" NUM:other
"How many games are played in a five-team round-robin tournament ?" NUM:count
"What was the highest mountain on earth before Mount Everest was discovered ?" LOC:mount
"Name one of King Henry VIII 's wives ." HUM:ind
"What is the largest lake in North America ?" LOC:other
"Which college did Dikembe Mutombo attend ?" HUM:gr
"What is thalassemia ?" DESC:def
"Who moderated the first Kennedy-Nixon TV debate ?" HUM:ind
"What is the snowiest city in the U.S. ?" LOC:city
"How do Ouija Boards work ?" DESC:manner
"What is the federal minimum wage ?" NUM:money
"What does a chef coddle eggs in ?" ENTY:other
"What is Candlemas Day ?" DESC:def
"What is state tree of Nebraska ?" ENTY:plant
"Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?" HUM:ind
"Who was the author of the famous fairy tale `` Snow White and Seven Dwarfs '' ?" HUM:ind
"What general direction does the journey in Around the World in 80 Days proceed in ?" LOC:other
"Where is South Bend ?" LOC:other
"What is a Mexican hairless ?" DESC:def
"What is idealab ! ?" DESC:def
"What debts did Qintex group leave ?" NUM:money
"What is the chemical symbol for nitrogen ?" ENTY:symbol
"What 's the most delicate-tasting member of the onion family ?" ENTY:food
"How do I find a web address for a company ?" DESC:manner
"Where can I find a picture of a Blue Meanie ?" LOC:other
"What is the size of Argentina ?" NUM:volsize
"Who released the Internet worm in the late 1980s ?" HUM:ind
"What is in baby powder and baby lotion that makes it smell the way it does ?" DESC:reason
"What was the name of Roy Rogers 's dog ?" ENTY:animal
"Who has the only speaking role in `` Silent Movie '' ?" HUM:ind
"What is the abbreviation of the company name ` General Motors ' ?" ABBR:abb
"What chess outcome results when a player has no legal move ?" ENTY:sport
"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?" DESC:desc
"What is the largest natural lake in Pennsylvania ?" LOC:other
